part_id,color_id,part_name,part_cat_id
48379c01,72,Sports Promo Figure Base with Feet,27.0
48395,7,Sports Promo Snowboard from McDonald's Sports Set Number 6 Set 7922,27.0
mcsport6,25,Sports Promo Figure Head Torso Assembly McDonald's Set 6 (7922),13.0
paddle,0,Sports Promo Paddle from McDonald's Sports Sets,27.0
11816pr0005,78,"Minifig Head Modified - Friends - Green Eyes, Pink Lips and Closed Mouth Print",13.0
2343,47,Minifig Goblet,27.0
3003,29,Brick 2 x 2,11.0
30176,2,Round 1 x 1 - 3 Bamboo Leaves,28.0
3020,15,Plate 2 x 4,14.0
3022,15,Plate 2 x 2,14.0
3023,15,Plate 1 x 2,14.0
30357,29,"Plate, Round Corner 3 x 3",21.0
3039,15,Slope 45° 2 x 2,3.0
3062b,15,Brick Round 1 x 1 Open Stud,20.0
3068b,29,Tile 2 x 2 with Groove,19.0
3069b,29,Tile 1 x 2 with Groove,19.0
33291,191,Plate Round 1 x 1 with Flower Edge [4 Petals],28.0
3795,15,Plate 2 x 6,14.0
3941,27,Brick Round 2 x 2 with Axle Hole,20.0
3960,27,Dish 4 x 4 Inverted [Radar],21.0
4032a,70,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),21.0
4865a,41,Panel 1 x 2 x 1 [Square Corners],23.0
6141,27,Plate Round 1 x 1 with Solid Stud,21.0
63965,15,Bar 6L with Stop Ring,32.0
85080,322,"Brick, Round Corner 2 x 2 Macaroni with Stud Notch and Reinforced Underside [New Style]",20.0
92258,0,"Minifig Hair - Friends - Long Wavy, Partially Tied Back [1 Hole]",13.0
92456pr0011c01,78,"Torso Friends - Medium Violet Top with Flowers Print, Light Flesh Arms with Hands",13.0
92818pr0002c01,26,"Friends - Hips and Layered Skirt, Light Flesh Legs and Magenta Shoes Print",13.0
30214,34,Minifig Helmet Round Bubble,27.0
3069bp53,0,Tile  1 x  2 with Mars Orbit Display Print,10.0
3298pb005,8,Slope 33° 3 x 2 with Insectoid Scope Print,3.0
3475b,1,"Engine - Smooth, Small 1 x 2 Side Plate [With Axle Holders]",35.0
3626bpx175,8,"Minifig Head with Silver Hair and Copper Eyepiece Print alien,insectoids,borg,headset [Blocked Open Stud]",13.0
4589,42,Cone 1 x 1 [No Top Groove],20.0
4590,1,Plate Special 1 x 4 Offset,9.0
4596,0,Plate Special 1 x 2 with Long Stud Receptacle (Space Wing),9.0
4598,8,Bracket 3 x 2 - 2 x 2 [aka Space Seat],9.0
4740,42,Dish 2 x 2 Inverted [Radar],21.0
6919,42,Dish 2 x 2 with Angled Bar,21.0
970x027,0,Legs and Dark Gray Hips,13.0
973pb0037c01,8,Torso Space Insectoids Silver X on Green Verniers Print / Green Arms / Black Hands,13.0
2360p02,2,Baseplate Road 32 x 32 7-Stud T Intersection with Runway 'V' Narrow Print,1.0
2361p02,2,Baseplate 32 x 32 Road 7-Stud Crossroads w/ Runway Wide Print,1.0
7049b,15,"Brick, Modified 2 x 4 with Wheels Holder Old, Clear Bottom",29.0
